longtitude,latitude
-117.213248553,32.866859421
-117.213097776,32.866896844
-117.212949752,32.866931766
-117.212805285,32.866964439
-117.212659797,32.866992479
-117.212513486,32.867016742
-117.212366481,32.867035112
-117.21222111,32.867046336
-117.212080921,32.86705196
-117.211946372,32.867050231
-117.211814246,32.867043636
-117.211680471,32.867033272
-117.211543964,32.86701936
-117.211403638,32.867000242
-117.211257359,32.8669753
-117.211109493,32.86694283
-117.210959409,32.866904152
-117.210810064,32.866858739
-117.210663977,32.866806583
-117.210521159,32.866747365
-117.210381991,32.866680509
-117.210246601,32.8666079
-117.210116804,32.866532017
-117.209990453,32.866447918
-117.20986733,32.866357343
-117.209745907,32.866261157
-117.20962528,32.866158197
-117.20950536,32.866045858
-117.209380344,32.865931314
-117.209248792,32.86581685
-117.209113518,32.865698934
-117.208974822,32.865579485
-117.208832155,32.865457089
-117.208687135,32.865333824
-117.208537131,32.865207136
-117.2083815,32.865076727
-117.208218872,32.864943768
-117.208047573,32.864811677
-117.207865416,32.864682481
-117.207671136,32.864558221
-117.207468022,32.864442025
-117.207254327,32.864330786
-117.207030182,32.864226963
-117.206798129,32.864134606
-117.206560789,32.864054618
-117.206320838,32.863986238
-117.206077186,32.863928448
-117.205829337,32.863881849
-117.205576548,32.863847385
-117.205319244,32.863824109
-117.205058223,32.863811903
-117.204794834,32.863812356
-117.20453042,32.863825171
-117.204270845,32.863846234
-117.204016256,32.863871098
-117.203764406,32.863897794
-117.203513995,32.863925913
-117.203264911,32.863954518
-117.203017258,32.863982551
-117.202771236,32.864010708
-117.202533442,32.864039087
-117.202310852,32.864068453
-117.202107071,32.864100649
-117.201924434,32.864135324
-117.201775556,32.864170283
-117.201640192,32.864204305
-117.201522805,32.864237201
-117.201421664,32.864266413
-117.20134285,32.864289263
-117.201285267,32.864306637
-117.201240946,32.864319984
-117.201206928,32.864330284
-117.201178255,32.864339332
-117.201138473,32.864351898
-117.201083002,32.864370336
-117.20101352,32.864394629
-117.200932187,32.864424294
-117.200843118,32.864457916
-117.200744432,32.864496439
-117.200635856,32.864540066
-117.200518708,32.864589559
-117.200393006,32.864644062
-117.200259267,32.864704876
-117.200118387,32.864772349
-117.199972251,32.864846395
-117.199821723,32.864927628
-117.199668952,32.865016686
-117.19951446,32.865113045
-117.199358724,32.865215836
-117.199204415,32.865324795
-117.199053866,32.865439194
-117.198905828,32.865556999
-117.198765339,32.865674334
-117.198634538,32.865789159
-117.198512124,32.865901031
-117.19839595,32.866007756
-117.198285245,32.866109497
-117.198179676,32.866207749
-117.198075595,32.866305726
-117.197972089,32.866404015
-117.197871993,32.866499849
-117.197777568,32.866591429
-117.197688517,32.866679258
-117.197601417,32.866766186
-117.197516267,32.86685112
-117.197435054,32.866931975
-117.197357736,32.86700911
-117.197283552,32.867083656
-117.197211128,32.867155798
-117.197142632,32.867223911
-117.197076228,32.867290016
-117.197008919,32.867357037
-117.196939372,32.867425859
-117.19686597,32.867495539
-117.19678832,32.867565925
-117.19670623,32.867636832
-117.196620668,32.867710967
-117.196532127,32.867790877
-117.196441816,32.867877136
-117.196348907,32.867969382
-117.196251315,32.868067832
-117.196148515,32.868172291
-117.196042063,32.868280914
-117.195936653,32.868387969
-117.195835809,32.868491974
-117.195740527,32.868591468
-117.195653357,32.868682726
-117.195575565,32.868760687
-117.19550091,32.868816194
-117.195115816,32.868679908
-117.195015511,32.86860936
-117.192794649,32.867011769
-117.192001862,32.866325181
-117.191022785,32.865403179
-117.190833156,32.865216302
-117.190649633,32.865025732
-117.190469414,32.864835883
